L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
5,3,3,5,0.0,0.5,3.0,8.0,1.5,51,11,40,0.2157,1.1506,58.6787,38.405,1.3429,20.891,-4.2781,-41.9353,26.47,32.1264,-8.3217,"{'tp': 11, 'sl': 40}",31,0.933,0.49
5,3,5,5,0.0,0.5,3.0,8.0,1.5,51,11,40,0.2157,1.1506,58.6787,38.405,1.3429,20.891,-4.2781,-41.9353,26.47,32.1264,-8.3217,"{'tp': 11, 'sl': 40}",31,0.933,0.49
5,3,7,5,0.0,0.5,3.0,8.0,1.5,51,11,40,0.2157,1.1506,58.6787,38.405,1.3429,20.891,-4.2781,-41.9353,26.47,32.1264,-8.3217,"{'tp': 11, 'sl': 40}",31,0.933,0.49
5,3,10,5,0.0,0.5,3.0,8.0,1.5,51,11,40,0.2157,1.1506,58.6787,38.405,1.3429,20.891,-4.2781,-41.9353,26.47,32.1264,-8.3217,"{'tp': 11, 'sl': 40}",31,0.933,0.49
7,3,10,3,0.05,0.5,10.0,6.0,1.0,34,10,24,0.2941,2.8318,96.2797,118.9428,2.112,18.2859,-3.6075,-28.336,8.06,30.0457,-5.9477,"{'sl': 24, 'tp': 10}",26,0.929,0.618
7,3,7,3,0.05,0.5,10.0,8.0,1.5,31,12,19,0.3871,5.4377,168.5689,285.2579,2.6475,22.5737,-5.385,-28.7971,24.16,40.0943,-8.8716,"{'sl': 19, 'tp': 11, 'end': 1}",24,0.92,0.452
10,3,7,5,0.1,1.0,10.0,4.0,1.0,24,7,17,0.2917,2.1042,50.5008,53.9552,2.0982,13.7836,-2.705,-8.5094,8.96,21.8246,-4.7088,"{'sl': 17, 'tp': 7}",20,0.915,0.542
5,3,3,5,0.05,1.0,5.0,6.0,1.0,71,12,59,0.169,0.0877,6.2241,-12.5681,1.032,16.7111,-3.2934,-47.8317,14.79,24.0698,-6.7432,"{'sl': 59, 'tp': 12}",38,0.914,0.606
5,3,5,5,0.05,1.0,5.0,6.0,1.0,71,12,59,0.169,0.0877,6.2241,-12.5681,1.032,16.7111,-3.2934,-47.8317,14.79,24.0698,-6.7432,"{'sl': 59, 'tp': 12}",38,0.914,0.606
5,3,7,5,0.05,1.0,5.0,6.0,1.0,71,12,59,0.169,0.0877,6.2241,-12.5681,1.032,16.7111,-3.2934,-47.8317,14.79,24.0698,-6.7432,"{'sl': 59, 'tp': 12}",38,0.914,0.606
5,3,10,5,0.05,1.0,5.0,6.0,1.0,71,12,59,0.169,0.0877,6.2241,-12.5681,1.032,16.7111,-3.2934,-47.8317,14.79,24.0698,-6.7432,"{'sl': 59, 'tp': 12}",38,0.914,0.606
7,3,5,3,0.05,0.0,10.0,8.0,1.5,24,9,15,0.375,5.2725,126.5412,176.4859,2.7188,22.2401,-4.908,-15.046,27.08,40.0943,-8.5261,"{'sl': 15, 'tp': 8, 'end': 1}",20,0.912,0.458
10,3,5,3,0.05,1.0,10.0,8.0,1.5,21,6,15,0.2857,3.2716,68.7026,61.5878,1.8792,24.4735,-5.2092,-19.9693,29.38,40.0943,-8.3217,"{'sl': 15, 'tp': 5, 'end': 1}",19,0.903,0.524
10,2,3,5,0.05,0.0,10.0,5.0,1.5,26,9,17,0.3462,1.6448,42.7661,37.7933,1.5629,13.1929,-4.4688,-33.7234,15.73,23.9534,-7.2167,"{'sl': 17, 'tp': 8, 'end': 1}",21,0.902,0.615
7,2,7,3,0.0,0.5,10.0,4.0,2.0,34,14,20,0.4118,1.3693,46.5575,32.7563,1.3296,13.414,-7.0619,-39.0286,23.32,23.5135,-12.0914,"{'sl': 20, 'tp': 13, 'end': 1}",26,0.901,0.618
7,3,7,3,0.0,0.0,10.0,8.0,1.5,21,6,15,0.2857,3.3922,71.236,65.9968,1.826,26.247,-5.7497,-35.561,32.48,29.5332,-8.8716,"{'sl': 15, 'tp': 6}",20,0.9,0.524
7,3,10,3,0.0,0.5,10.0,4.0,2.0,21,7,14,0.3333,-1.2262,-25.7505,-30.3162,0.7724,12.4874,-8.083,-41.5018,14.1,14.7166,-11.7954,"{'sl': 14, 'tp': 7}",20,0.898,0.619
7,3,10,3,0.05,1.0,10.0,8.0,1.5,31,12,19,0.3871,5.4517,169.0028,287.1575,2.6588,22.5737,-5.3622,-34.0487,23.23,40.0943,-8.8716,"{'sl': 19, 'tp': 11, 'end': 1}",26,0.896,0.452
5,3,3,5,0.0,1.0,10.0,6.0,1.0,67,8,59,0.1194,-1.1497,-77.0292,-60.4925,0.6417,17.2418,-3.6434,-68.157,15.03,24.0698,-8.7849,"{'tp': 8, 'sl': 59}",39,0.893,0.537
5,3,5,5,0.0,1.0,10.0,6.0,1.0,67,8,59,0.1194,-1.1497,-77.0292,-60.4925,0.6417,17.2418,-3.6434,-68.157,15.03,24.0698,-8.7849,"{'tp': 8, 'sl': 59}",39,0.893,0.537
5,3,7,5,0.0,1.0,10.0,6.0,1.0,67,8,59,0.1194,-1.1497,-77.0292,-60.4925,0.6417,17.2418,-3.6434,-68.157,15.03,24.0698,-8.7849,"{'tp': 8, 'sl': 59}",39,0.893,0.537
5,3,10,5,0.0,1.0,10.0,6.0,1.0,67,8,59,0.1194,-1.1497,-77.0292,-60.4925,0.6417,17.2418,-3.6434,-68.157,15.03,24.0698,-8.7849,"{'tp': 8, 'sl': 59}",39,0.893,0.537
5,3,3,5,0.0,0.5,3.0,6.0,1.0,51,10,41,0.1961,0.7883,40.2028,30.2596,1.3411,15.8069,-2.8748,-35.76,16.22,24.0698,-5.5812,"{'tp': 10, 'sl': 41}",31,0.888,0.51
5,3,5,5,0.0,0.5,3.0,6.0,1.0,51,10,41,0.1961,0.7883,40.2028,30.2596,1.3411,15.8069,-2.8748,-35.76,16.22,24.0698,-5.5812,"{'tp': 10, 'sl': 41}",31,0.888,0.51
5,3,7,5,0.0,0.5,3.0,6.0,1.0,51,10,41,0.1961,0.7883,40.2028,30.2596,1.3411,15.8069,-2.8748,-35.76,16.22,24.0698,-5.5812,"{'tp': 10, 'sl': 41}",31,0.888,0.51
5,3,10,5,0.0,0.5,3.0,6.0,1.0,51,10,41,0.1961,0.7883,40.2028,30.2596,1.3411,15.8069,-2.8748,-35.76,16.22,24.0698,-5.5812,"{'tp': 10, 'sl': 41}",31,0.888,0.51
7,3,10,3,0.05,0.0,5.0,6.0,1.5,28,11,17,0.3929,3.8471,107.7181,148.5454,2.4016,16.7794,-4.5209,-16.5354,14.07,22.1249,-7.9029,"{'sl': 17, 'tp': 11}",22,0.885,0.393
7,2,10,5,0.05,1.0,10.0,4.0,2.0,35,17,18,0.4857,2.3239,81.3351,95.6133,1.7607,11.074,-5.9402,-27.4574,22.06,18.8779,-8.9061,"{'sl': 18, 'tp': 17}",22,0.882,0.429
