L,S,W,k,eps,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit
7,3,10,5,0.0,4.0,2.0,155,55,100,0.3548,0.0407,6.3035,-45.9452,1.0099,11.7407,-6.3944,-77.8895,17.67,30.4284,-17.4699,"{'sl': 96, 'tp': 50, 'end': 9}",78
7,3,7,3,0.05,2.0,1.0,76,24,52,0.3158,-0.7579,-57.5972,-47.1492,0.6617,4.6934,-3.2738,-59.2934,5.36,7.3378,-7.7321,"{'sl': 52, 'tp': 24}",52
7,3,7,3,0.05,3.0,1.0,76,18,58,0.2368,-0.7911,-60.1245,-49.4913,0.6765,6.9848,-3.2043,-63.8764,6.87,11.0567,-7.7321,"{'sl': 58, 'tp': 18}",52
7,3,10,3,0.05,2.0,1.0,78,24,54,0.3077,-0.8257,-64.4023,-50.6903,0.6362,4.6934,-3.2786,-62.0208,5.27,7.3378,-7.7321,"{'sl': 54, 'tp': 24}",53
10,2,7,3,0.0,3.0,2.0,79,33,46,0.4177,-0.5881,-46.4577,-52.3768,0.8628,8.8547,-7.3622,-80.9757,12.41,14.014,-14.3329,"{'sl': 46, 'tp': 32, 'end': 1}",57
7,3,10,3,0.05,3.0,1.0,78,18,60,0.2308,-0.8581,-66.9296,-52.8754,0.6526,6.9848,-3.2109,-66.2967,6.74,11.0567,-7.7321,"{'sl': 60, 'tp': 18}",53
7,2,5,5,0.05,2.0,1.0,198,67,131,0.3384,-0.2838,-56.196,-53.8746,0.8714,5.6845,-3.3363,-69.0513,5.04,15.5522,-9.8894,"{'sl': 131, 'tp': 67}",87
5,2,5,3,0.05,2.0,1.0,103,28,75,0.2718,-0.7182,-73.9788,-56.9397,0.7,6.1648,-3.2879,-65.2236,5.79,10.8623,-7.2165,"{'sl': 75, 'tp': 27, 'end': 1}",61
7,2,5,5,0.05,3.0,2.0,195,82,113,0.4205,-0.1114,-21.7324,-57.2942,0.97,8.5619,-6.4053,-72.4019,13.71,22.4541,-19.6788,"{'sl': 112, 'tp': 79, 'end': 4}",87
5,2,7,3,0.05,2.0,1.0,104,28,76,0.2692,-0.7417,-77.1383,-58.3002,0.6911,6.1648,-3.2862,-66.3223,5.74,10.8623,-7.2165,"{'sl': 76, 'tp': 27, 'end': 1}",61
5,2,10,3,0.05,2.0,1.0,104,28,76,0.2692,-0.7417,-77.1383,-58.3002,0.6911,6.1648,-3.2862,-66.3223,5.74,10.8623,-7.2165,"{'sl': 76, 'tp': 27, 'end': 1}",61
